IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,259,4.76
47.237.121.38,80,80,false,SIN,Asia Pacific,Singapore,253,4.71
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,262,4.68
8.219.1.92,8880,8880,false,SIN,Asia Pacific,Singapore,289,4.68
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,251,4.66
8.222.144.50,2086,2086,false,SIN,Asia Pacific,Singapore,266,4.62
8.219.189.143,8880,8880,false,SIN,Asia Pacific,Singapore,262,4.61
8.219.11.158,2053,2053,true,SIN,Asia Pacific,Singapore,273,4.59
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,259,4.57
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,252,4.56
8.222.144.50,8080,8080,false,SIN,Asia Pacific,Singapore,275,4.55
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,248,4.54
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,258,4.53
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,258,4.52
47.236.75.152,2083,2083,true,SIN,Asia Pacific,Singapore,266,4.51
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,255,4.48
8.219.78.1,2087,2087,true,SIN,Asia Pacific,Singapore,258,4.46
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,282,4.46
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,260,4.45
139.84.162.197,443,443,true,SIN,Asia Pacific,Singapore,283,4.45
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,268,4.44
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,259,4.43
47.237.83.20,8080,8080,false,SIN,Asia Pacific,Singapore,253,4.42
47.236.150.13,8080,8080,false,SIN,Asia Pacific,Singapore,255,4.40
8.219.198.139,2053,2053,true,SIN,Asia Pacific,Singapore,255,4.38
8.222.179.231,80,80,false,SIN,Asia Pacific,Singapore,258,4.36
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,273,4.35
47.237.95.13,80,80,false,SIN,Asia Pacific,Singapore,252,4.34
47.236.75.113,8880,8880,false,SIN,Asia Pacific,Singapore,257,4.31
8.222.237.131,80,80,false,SIN,Asia Pacific,Singapore,267,4.28
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,274,4.26
8.219.202.130,80,80,false,SIN,Asia Pacific,Singapore,255,4.25
47.237.14.220,2052,2052,false,SIN,Asia Pacific,Singapore,274,4.25
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,260,4.22
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,262,4.21
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,254,4.15
8.222.165.117,2083,2083,true,SIN,Asia Pacific,Singapore,251,4.14
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,257,4.09
8.219.122.55,8880,8880,false,SIN,Asia Pacific,Singapore,254,4.09
8.219.1.92,80,80,false,SIN,Asia Pacific,Singapore,254,4.08
47.238.49.85,80,443,true,SIN,Asia Pacific,Singapore,21,4.07
47.236.180.24,2052,2052,false,SIN,Asia Pacific,Singapore,257,4.05
47.236.172.71,2052,2052,false,SIN,Asia Pacific,Singapore,255,4.05
47.236.205.188,2095,2095,false,SIN,Asia Pacific,Singapore,254,4.04
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,19,3.99
47.236.167.231,2086,2086,false,SIN,Asia Pacific,Singapore,260,3.99
8.219.198.139,2087,2087,true,SIN,Asia Pacific,Singapore,254,3.98
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,263,3.96
